Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
9,2010,9/3/2010 18:53,Pennsylvania,41.7757,-78.5023,,
9,2010,9/29/2010 0:00,Pennsylvania,40.3911,-80.0766,,
10,2010,10/4/2010 14:00,California,34.2266,-118.0306,,
10,2010,10/24/2010 0:00,Washington,45.7037,-122.6508,,
1,2010,1/21/2010 0:00,California,34.3091,-118.2537,,
12,2010,12/12/2010 9:00,Washington,47.4481,-122.3633,,
1,2010,1/24/2010 16:30,Tennessee,35.4962,-84.2738,,
5,2010,5/2/2010 0:00,Kentucky,38.1107,-83.5013,,
12,2010,12/19/2010 21:00,California,34.0712,-119.0125,,
12,2010,12/10/2010 0:00,Washington,47.5095,-122.3915,,
12,2010,12/19/2010 15:44,California,40.7397,-123.0315,,
12,2010,12/30/2010 9:00,Washington,47.5121,-122.3919,,
8,2010,8/5/2010 0:00,Washington,48.2719,-120.6228,,
12,2010,12/12/2010 0:00,Washington,47.5513,-122.2288,,
1,2010,1/22/2010 0:00,Arizona,34.1933,-112.1327,,
12,2010,12/12/2010 9:00,Washington,47.5692,-122.6561,,
8,2010,8/19/2010 15:00,Colorado,39.4346,-107.2429,,
5,2010,5/9/2010 0:00,Tennessee,36.0959,-86.8568,,
12,2010,12/22/2010 0:00,California,34.1813,-117.1709,,
12,2010,12/12/2010 0:00,Washington,47.6949,-122.2782,,
3,2010,3/15/2010 19:00,Massachusetts,42.1433,-71.2165,,
5,2010,5/3/2010 0:00,Kentucky,37.3212,-82.3434,,
3,2010,3/15/2010 2:00,Massachusetts,42.4135,-71.6974,,
5,2010,5/2/2010 0:00,Tennessee,36.0739,-86.8931,,
5,2010,5/3/2010 0:00,Kentucky,37.034,-83.1816,,
1,2010,1/18/2010 0:00,California,34.175,-118.0451,,
3,2010,3/13/2010 23:00,New Jersey,41.0428958,-74.62911456,,
3,2010,3/14/2010 16:30,Ohio,38.9632,-82.7353,,
12,2010,12/13/2010 14:00,Washington,47.706,-122.2214,,
1,2010,1/25/2010 8:00,North Carolina,36.2592,-80.3654,,
8,2010,8/9/2010 9:00,Iowa,41.0266,-92.4181,,
3,2010,3/26/2010 23:30,New York,42.5435,-74.8163,,
12,2010,12/20/2010 0:00,Nevada,36.0185,-115.5073,,
12,2010,12/12/2010 0:00,Washington,47.7078,-122.2756,,
5,2010,5/3/2010 0:00,Kentucky,37.1609,-83.3732,,
12,2010,12/30/2010 9:00,California,37.6782,-119.7669,,
4,2010,4/25/2010 9:00,California,34.0679,-117.805,,
3,2010,3/29/2010 11:00,North Carolina,35.6024,-83.426,,
6,2010,6/28/2010 19:00,Colorado,38.7275,-106.167,,
1,2010,1/25/2010 13:40,Connecticut,41.9953,-73.2068,,
12,2010,12/12/2010 0:00,Washington,47.4092,-122.4398,,
12,2010,12/22/2010 0:00,California,33.0648,-117.3049,,
3,2010,3/25/2010 0:00,Washington,47.9567,-122.2721,,
5,2010,5/3/2010 0:00,Kentucky,37.0945,-83.1006,,
8,2010,8/19/2010 15:00,Colorado,39.2143,-106.9823,,
5,2010,5/3/2010 0:00,Kentucky,37.796,-82.4698,,
12,2010,12/22/2010 8:00,California,34.0775,-117.2599,,
12,2010,12/12/2010 0:00,Washington,47.4615,-122.5458,,
5,2010,5/10/2010 0:00,Ohio,38.6198,-82.6276,,
1,2010,1/21/2010 11:30,California,33.6024,-117.4532,,
7,2010,7/27/2010 15:00,Colorado,38.0604,-108.1234,,
12,2010,12/31/2010 18:00,California,34.4275,-119.092,,
3,2010,3/11/2010 15:00,Pennsylvania,40.4327,-80.0383,,
7,2010,7/20/2010 0:00,Arizona,35.2902,-111.5932,,
12,2010,12/22/2010 3:00,California,33.7456,-117.6357,,
6,2010,6/7/2010 0:00,Nevada,40.6553,-115.4195,,
12,2010,12/11/2010 0:00,Washington,47.6177,-122.2818,,
5,2010,5/23/2010 10:00,North Carolina,35.7117,-82.8329,,
5,2010,5/3/2010 0:00,Kentucky,37.3685,-82.7434,,
12,2010,12/22/2010 7:30,California,32.8296,-117.2626,,
1,2010,1/21/2010 15:00,California,34.2342,-118.2246,,
12,2010,12/22/2010 0:00,California,33.7465,-117.7349,,
2,2010,2/27/2010 0:00,California,35.9816,-119.9601,,
6,2010,6/28/2010 12:00,New York,42.8004,-77.3018,,
6,2010,6/23/2010 0:00,Wisconsin,43.3321,-90.595,,
9,2010,9/19/2010 23:00,Virginia,37.4204,-79.12,,
5,2010,5/3/2010 0:00,Kentucky,37.2283,-83.0567,,
3,2010,3/12/2010 0:00,Oregon,45.0228,-123.8317,,
3,2010,3/13/2010 0:00,West Virginia,37.3042,-81.1194,,
6,2010,6/5/2010 17:00,Pennsylvania,40.4507,-79.9773,,
6,2010,6/4/2010 6:48,Oregon,43.3755,-123.5176,,
8,2010,8/19/2010 15:00,Colorado,39.2089,-106.9909,,
